City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,xiaoweizhai,26.1903,107.5125,14.12,92,70,0.28,CN,1678106520
155,cherskiy,68.75,161.3,-37.88,99,33,1.65,RU,1678106752
156,nyagan,62.1406,65.3936,-8.0,94,100,3.97,RU,1678106521
157,east london,-33.0153,27.9116,26.52,61,0,7.72,ZA,1678106175
158,ixtapa,20.7,-105.2,17.9,94,40,0.0,MX,1678106298
159,atbasar,51.8,68.3333,0.31,91,100,7.56,KZ,1678106522
160,formosa,-26.1775,-58.1781,27.76,66,5,2.57,AR,1678106470
161,laguna,38.421,-121.4238,5.59,88,75,3.09,US,1678106081
162,carnarvon,-24.8667,113.6333,25.71,69,0,10.1,AU,1678106754
163,abu dhabi,24.4667,54.3667,30.06,33,0,3.6,AE,1678106523
164,mahebourg,-20.4081,57.7,28.16,78,75,3.09,MU,1678106755
165,geraldton,-28.7667,114.6,22.23,78,0,9.26,AU,1678106755
166,sitka,57.0531,-135.33,-6.06,45,0,2.57,US,1678106756
167,lexington,37.9887,-84.4777,9.94,61,0,3.6,US,1678105972
168,lagodekhi,41.8268,46.2767,12.5,71,100,3.75,GE,1678106525
169,adrar,20.5022,-10.0711,30.95,9,100,4.44,MR,1678106283
170,esperantinopolis,-4.8667,-44.7083,29.04,71,44,2.68,BR,1678106526
171,san cristobal,7.7669,-72.225,20.1,70,100,1.71,VE,1678106119
172,novoorsk,51.381,58.9813,1.36,94,78,2.3,RU,1678106527
173,pangnirtung,66.1451,-65.7125,4.0,93,40,2.57,CA,1678106211
174,sabang,5.8933,95.3214,27.73,68,0,9.05,ID,1678106528
175,port-gentil,-0.7193,8.7815,31.98,70,75,7.72,GA,1678106758
176,broken hill,-31.95,141.4333,22.09,27,49,5.59,AU,1678106528
177,kavaratti,10.5669,72.642,28.3,58,6,1.46,IN,1678106529
178,saint-gaudens,43.0833,0.6667,8.9,65,71,2.84,FR,1678106531
179,meulaboh,4.1363,96.1285,25.7,81,4,0.78,ID,1678106275
180,syasstroy,60.1367,32.5691,-1.89,88,100,3.02,RU,1678106531
181,ahipara,-35.1667,173.1667,15.65,91,7,2.28,NZ,1678106759
182,birjand,32.8663,59.2211,23.26,8,20,6.17,IR,1678106532
183,bandarbeyla,9.4942,50.8122,26.51,64,0,6.93,SO,1678106532
184,plaster rock,46.9065,-67.39,-2.71,94,100,7.44,CA,1678106533
185,nizhnyaya tura,58.6293,59.8118,-4.74,94,100,1.58,RU,1678106534
186,aklavik,68.2191,-135.0107,-32.9,99,10,2.52,CA,1678106761
187,limulunga,-15.0969,23.1376,31.03,42,100,2.61,ZM,1678106535
188,tiksi,71.6872,128.8694,-23.82,99,100,0.2,RU,1678106165
189,joshimath,30.5667,79.5667,10.45,55,63,0.29,IN,1678106535
190,palmas,-10.2128,-48.3603,27.93,83,75,2.57,BR,1678106536
191,krasnaya zarya,52.7825,37.6806,-2.72,84,7,4.85,RU,1678106536
192,panji,-7.7253,114.0995,24.42,86,91,1.87,ID,1678106537
193,leningradskiy,69.3833,178.4167,-28.47,98,96,2.36,RU,1678106762
194,kenora,49.8167,-94.4337,-12.46,72,20,5.14,CA,1678106144
195,lagoa,39.05,-27.9833,15.48,86,30,10.31,PT,1678106763
196,cayenne,4.9333,-52.3333,28.02,74,75,7.2,GF,1678106323
197,bondowoso,-7.9135,113.8214,22.95,93,82,2.19,ID,1678106539
198,ebeltoft,56.1944,10.6821,4.01,48,28,3.6,DK,1678106539
199,tilichiki,60.4667,166.1,-19.22,96,100,3.67,RU,1678106539
200,santa maria,-29.6842,-53.8069,20.61,100,100,2.06,BR,1678106302
201,jianhu,29.9799,120.5712,16.97,47,22,1.73,CN,1678106540
202,ribeira grande,38.5167,-28.7,17.22,82,75,12.86,PT,1678106765
203,lompoc,34.6391,-120.4579,8.11,94,100,3.09,US,1678106541
204,college,64.8569,-147.8028,-11.34,82,75,0.0,US,1678106525
205,flin flon,54.7682,-101.865,-31.09,69,0,1.54,CA,1678106542
206,poso,-1.3959,120.7524,25.62,84,100,2.07,ID,1678106542
207,kloulklubed,7.0419,134.2556,24.28,74,100,5.52,PW,1678106543
208,sanlucar la mayor,37.3871,-6.2011,14.93,85,75,1.34,ES,1678106544
209,nurota,40.5614,65.6886,20.12,40,0,3.25,UZ,1678106544
210,inuvik,68.3499,-133.7218,-23.52,77,0,2.57,CA,1678106545
211,port lincoln,-34.7333,135.8667,16.28,62,7,7.62,AU,1678106175
212,chake chake,-5.2459,39.7666,30.32,53,96,7.84,TZ,1678106768
213,takoradi,4.8845,-1.7554,28.85,72,100,5.27,GH,1678106546
214,havoysund,70.9963,24.6622,-5.87,79,100,11.12,NO,1678106267
215,mar del plata,-38.0023,-57.5575,27.19,71,0,4.12,AR,1678106337
216,bengkulu,-3.8004,102.2655,24.5,88,100,1.3,ID,1678106769
217,taltal,-25.4,-70.4833,21.88,74,26,1.5,CL,1678106257
218,caravelas,-17.7125,-39.2481,29.2,64,97,3.92,BR,1678106317
219,tura,25.5198,90.2201,22.13,26,0,0.48,IN,1678106770
220,esperance,-33.8667,121.9,16.46,65,19,4.27,AU,1678106771
221,kruisfontein,-34.0033,24.7314,19.38,79,99,6.81,ZA,1678106772
222,yining,29.0361,114.5636,16.5,44,51,1.29,CN,1678106549
223,channel-port aux basques,47.5702,-59.1367,-1.34,93,100,5.8,CA,1678106550
224,payo,-3.7508,103.6372,23.14,97,100,1.05,ID,1678106550
225,touros,-5.1989,-35.4608,29.06,69,99,7.22,BR,1678106773
226,wad madani,14.4012,33.5199,40.23,13,8,2.89,SD,1678106372
227,guerrero negro,27.9769,-114.0611,12.91,75,100,7.3,MX,1678106215
228,kristiansund,63.1115,7.732,-0.64,74,75,1.03,NO,1678106551
229,klaksvik,62.2266,-6.589,-0.49,60,100,14.0,FO,1678106774
230,haines junction,60.7522,-137.5108,-14.03,61,100,1.03,CA,1678106299
231,sumenep,-7.0167,113.8667,26.12,85,100,0.67,ID,1678106552
232,homer,59.6425,-151.5483,-2.33,70,0,5.36,US,1678106553
233,marsa matruh,31.3525,27.2453,17.45,55,6,7.39,EG,1678106553
234,sorland,67.667,12.6934,-4.08,77,100,11.35,NO,1678106554
235,zyryanka,65.75,150.85,-34.94,99,36,1.29,RU,1678106554
236,ust-omchug,61.15,149.6333,-32.07,100,71,0.29,RU,1678106555
237,popondetta,-8.7537,148.2534,23.53,98,100,1.11,PG,1678106556
238,vestmannaeyjar,63.4427,-20.2734,-1.45,50,0,4.12,IS,1678106776
239,padang,-0.9492,100.3543,28.03,89,83,2.6,ID,1678106195
240,suratgarh,29.3167,73.9,28.02,20,70,4.03,IN,1678106777
241,lavrentiya,65.5833,-171.0,-0.01,99,100,2.05,RU,1678106217
242,aljezur,37.3191,-8.8033,15.3,97,100,4.97,PT,1678106557
243,luena,-11.7833,19.9167,27.94,54,74,2.1,AO,1678106558
244,akyab,20.15,92.9,25.41,79,0,3.59,MM,1678106558
245,santa juliana,15.3283,120.4286,24.89,75,0,0.65,PH,1678106559
246,mayna,54.1135,47.6231,-1.96,87,100,4.53,RU,1678106559
247,kushiro,42.975,144.3747,1.09,88,1,4.17,JP,1678106560
248,ust-nera,64.5667,143.2,-27.37,99,100,0.86,RU,1678106560
249,togur,58.3631,82.8265,-3.73,93,100,7.2,RU,1678106561
250,khatanga,71.9667,102.5,-28.05,100,100,2.29,RU,1678106780
251,kaoma,-14.7833,24.8,26.15,67,99,1.36,ZM,1678106561
252,coihaique,-45.5752,-72.0662,10.34,93,100,3.6,CL,1678106333
253,hovd,48.0056,91.6419,3.49,31,88,4.18,MN,1678106300
254,benghazi,32.1167,20.0667,16.55,51,3,5.05,LY,1678106283
255,preobrazheniye,42.9019,133.9064,1.4,86,94,2.65,RU,1678106562
256,sobolevo,54.4299,31.8996,-1.67,84,99,4.39,RU,1678106563
257,ayr,55.4627,-4.6339,5.99,65,40,4.63,GB,1678106563
258,vardo,70.3705,31.1107,-9.01,67,75,8.23,NO,1678106782
259,lakatoro,-16.0999,167.4164,26.3,81,6,1.1,VU,1678106564
260,russell,32.3502,-85.1999,12.76,100,0,0.0,US,1678106783
261,sirineasa,44.9333,24.2,10.45,32,50,3.18,RO,1678106565
262,tahlequah,35.9154,-94.97,16.6,55,0,1.54,US,1678106505
263,ayagoz,47.9714,80.4392,0.75,94,100,3.25,KZ,1678106565
264,hofn,64.2539,-15.2082,-3.99,42,20,10.8,IS,1678106318
265,antri,26.0567,78.2144,27.34,18,17,4.18,IN,1678106566
266,sao filipe,14.8961,-24.4956,23.13,68,100,2.38,CV,1678106785
267,baykit,61.67,96.37,-15.25,99,100,1.07,RU,1678106567
268,muros,42.7762,-9.0603,15.38,79,100,5.91,ES,1678106276
269,kiunga,-6.1219,141.2906,22.47,96,99,0.66,PG,1678106567
270,sarahan,31.5167,77.8,9.25,40,25,1.44,IN,1678106568
271,vila praia de ancora,41.811,-8.8526,16.17,81,100,5.01,PT,1678106568
272,visnes,59.3556,5.2242,3.21,60,0,2.57,NO,1678106568
273,ibimirim,-8.5406,-37.6903,31.61,37,100,3.71,BR,1678106569
274,champerico,14.3,-91.9167,24.3,75,71,2.53,GT,1678106569
275,zlitan,32.4674,14.5687,20.37,30,26,6.37,LY,1678106570
